name,address,city,modality,latitude,longitude
Facultad Regional Chubut,Avenida del Trabajo 1536, Puerto Madryn,classroom,0,0
Facultad Regional Santa Cruz,Avenida de los Inmigrantes 555, Rio Gallegos,classroom,0,0
